label,path,struc
0,./clean_data/A1/0.py,Class Method Attribute Attribute Method Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/1.py,Class Method Attribute Attribute Method Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/10.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/11.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/12.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/13.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/14.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/15.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/16.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/17.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/18.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/19.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
0,./clean_data/A1/2.py,Class Method Attribute Attribute Method Attribute Attribute Attribute Method Attribute Attribute Attribute Attribute Attribute Attribute Method Attribute Attribute Attribute
